position,nation,time,minutes
0,ITA,0:32:17,32.28
1,ITA,0:32:40,32.67
2,ITA,0:32:50,32.83
3,ITA,0:33:10,33.17
4,FRA,0:35:25,35.42
5,ITA,0:35:52,35.87
6,ITA,0:37:00,37.0
7,ITA,0:37:55,37.92
8,ITA,0:38:07,38.12
9,ITA,0:38:44,38.73
10,UKR,0:38:50,38.83
11,ITA,0:38:56,38.93
12,ITA,0:39:09,39.15
13,ITA,0:40:03,40.05
14,ITA,0:40:04,40.07
15,ITA,0:40:08,40.13
16,ITA,0:40:11,40.18
17,ITA,0:40:18,40.3
18,ITA,0:40:42,40.7
19,BRA,0:40:44,40.73
20,MEX,0:41:04,41.07
21,ITA,0:41:10,41.17
22,ITA,0:41:15,41.25
23,ITA,0:41:19,41.32
24,ITA,0:41:22,41.37
25,ITA,0:41:31,41.52
26,ITA,0:41:38,41.63
27,ITA,0:41:42,41.7
28,ITA,0:41:45,41.75
29,ITA,0:41:56,41.93
30,ITA,0:42:08,42.13
31,ITA,0:42:08,42.13
32,ITA,0:42:11,42.18
33,ITA,0:42:12,42.2
34,ITA,0:42:21,42.35
35,ITA,0:43:16,43.27
36,ITA,0:43:26,43.43
37,ITA,0:43:26,43.43
38,ITA,0:43:38,43.63
39,ITA,0:44:11,44.18
40,ITA,0:44:11,44.18
41,ITA,0:44:16,44.27
42,ITA,0:44:17,44.28
43,ITA,0:44:23,44.38
44,ITA,0:44:34,44.57
45,ALB,0:44:39,44.65
46,ITA,0:44:51,44.85
47,ITA,0:44:51,44.85
48,ITA,0:44:52,44.87
49,ITA,0:44:53,44.88
50,ITA,0:44:55,44.92
51,ITA,0:44:56,44.93
52,ITA,0:45:09,45.15
53,ITA,0:45:11,45.18
54,ITA,0:45:19,45.32
55,ITA,0:45:23,45.38
56,ITA,0:45:23,45.38
57,ITA,0:45:26,45.43
58,ITA,0:45:27,45.45
59,ITA,0:45:29,45.48
60,ITA,0:45:39,45.65
61,ITA,0:45:44,45.73
62,ITA,0:45:52,45.87
63,ITA,0:45:54,45.9
64,ITA,0:45:54,45.9
65,ITA,0:46:08,46.13
66,ITA,0:46:23,46.38
67,ITA,0:46:41,46.68
68,ITA,0:46:47,46.78
69,ITA,0:46:50,46.83
70,ITA,0:46:58,46.97
71,ITA,0:47:07,47.12
72,ITA,0:47:09,47.15
73,ITA,0:47:11,47.18
74,ITA,0:47:14,47.23
75,ITA,0:47:15,47.25
76,ITA,0:47:23,47.38
77,ITA,0:47:30,47.5
78,ITA,0:47:35,47.58
79,ITA,0:47:38,47.63
80,ITA,0:47:39,47.65
81,ITA,0:47:41,47.68
82,ITA,0:47:53,47.88
83,ITA,0:47:54,47.9
84,ITA,0:48:02,48.03
85,ESP,0:48:07,48.12
86,GER,0:48:11,48.18
87,ITA,0:48:15,48.25
88,ITA,0:48:29,48.48
89,ITA,0:48:32,48.53
90,ITA,0:48:33,48.55
91,ITA,0:48:36,48.6
92,ITA,0:48:46,48.77
93,ITA,0:48:47,48.78
94,ITA,0:48:51,48.85
95,ITA,0:48:53,48.88
96,ITA,0:48:58,48.97
97,ITA,0:49:04,49.07
98,ITA,0:49:06,49.1
99,ITA,0:49:07,49.12
100,ITA,0:49:09,49.15
101,ITA,0:49:09,49.15
102,ITA,0:49:13,49.22
103,ITA,0:49:13,49.22
104,ITA,0:49:19,49.32
105,ITA,0:49:25,49.42
106,ITA,0:49:30,49.5
107,ITA,0:49:30,49.5
108,ITA,0:49:31,49.52
109,ITA,0:49:33,49.55
110,ITA,0:49:36,49.6
111,ITA,0:49:38,49.63
112,ITA,0:49:42,49.7
113,ITA,0:49:45,49.75
114,ITA,0:49:46,49.77
115,ITA,0:49:46,49.77
116,ITA,0:49:46,49.77
117,ITA,0:49:50,49.83
118,ITA,0:49:54,49.9
119,ITA,0:49:58,49.97
120,ITA,0:49:58,49.97
121,ITA,0:50:00,50.0
122,ITA,0:50:00,50.0
123,ITA,0:50:04,50.07
124,ITA,0:50:05,50.08
125,ITA,0:50:10,50.17
126,ITA,0:50:13,50.22
127,ITA,0:50:14,50.23
128,ITA,0:50:21,50.35
129,ITA,0:50:36,50.6
130,ITA,0:50:50,50.83
131,ITA,0:50:56,50.93
132,ITA,0:51:02,51.03
133,ITA,0:51:03,51.05
134,ITA,0:51:03,51.05
135,ITA,0:51:03,51.05
136,ITA,0:51:08,51.13
137,ITA,0:51:10,51.17
138,ITA,0:51:11,51.18
139,ITA,0:51:11,51.18
140,ITA,0:51:17,51.28
141,ITA,0:51:17,51.28
142,ITA,0:51:25,51.42
143,ITA,0:51:25,51.42
144,ITA,0:51:25,51.42
145,ITA,0:51:25,51.42
146,ITA,0:51:26,51.43
147,PER,0:51:27,51.45
148,ITA,0:51:27,51.45
149,ITA,0:51:30,51.5
150,ITA,0:51:30,51.5
151,ITA,0:51:31,51.52
152,ITA,0:51:32,51.53
153,ITA,0:51:38,51.63
154,ITA,0:51:40,51.67
155,GBR,0:51:41,51.68
156,ITA,0:51:46,51.77
157,ITA,0:51:54,51.9
158,FRA,0:51:55,51.92
159,ITA,0:51:56,51.93
160,ITA,0:52:02,52.03
161,ITA,0:52:11,52.18
162,ITA,0:52:11,52.18
163,ITA,0:52:16,52.27
164,ITA,0:52:17,52.28
165,ITA,0:52:23,52.38
166,ITA,0:52:25,52.42
167,ITA,0:52:27,52.45
168,ITA,0:52:28,52.47
169,ITA,0:52:28,52.47
170,ITA,0:52:29,52.48
171,ITA,0:52:32,52.53
172,CHI,0:52:33,52.55
173,ITA,0:52:38,52.63
174,ITA,0:52:38,52.63
175,ITA,0:52:43,52.72
176,ITA,0:52:47,52.78
177,ITA,0:52:54,52.9
178,ITA,0:52:59,52.98
179,ITA,0:53:02,53.03
180,ITA,0:53:03,53.05
181,ITA,0:53:06,53.1
182,ITA,0:53:06,53.1
183,ITA,0:53:17,53.28
184,ITA,0:53:18,53.3
185,ITA,0:53:20,53.33
186,ITA,0:53:21,53.35
187,ITA,0:53:37,53.62
188,ITA,0:53:44,53.73
189,ITA,0:53:44,53.73
190,ITA,0:53:55,53.92
191,ITA,0:53:56,53.93
192,ITA,0:53:57,53.95
193,ITA,0:53:59,53.98
194,ITA,0:54:00,54.0
195,ITA,0:54:02,54.03
196,ITA,0:54:02,54.03
197,ITA,0:54:03,54.05
198,ITA,0:54:05,54.08
199,ITA,0:54:07,54.12
200,ITA,0:54:08,54.13
201,ITA,0:54:12,54.2
202,ITA,0:54:12,54.2
203,ITA,0:54:13,54.22
204,ITA,0:54:14,54.23
205,ITA,0:54:18,54.3
206,ITA,0:54:26,54.43
207,ITA,0:54:28,54.47
208,ITA,0:54:34,54.57
209,ITA,0:54:36,54.6
210,ITA,0:54:40,54.67
211,ITA,0:54:42,54.7
212,ITA,0:54:42,54.7
213,ITA,0:54:42,54.7
214,ITA,0:54:42,54.7
215,ITA,0:54:45,54.75
216,ITA,0:54:46,54.77
217,ITA,0:54:49,54.82
218,ITA,0:54:49,54.82
219,ITA,0:54:50,54.83
220,ITA,0:54:56,54.93
221,ITA,0:55:05,55.08
222,ITA,0:55:06,55.1
223,ITA,0:55:08,55.13
224,ITA,0:55:09,55.15
225,ITA,0:55:12,55.2
226,ITA,0:55:19,55.32
227,ITA,0:55:28,55.47
228,ITA,0:55:29,55.48
229,ITA,0:55:29,55.48
230,ITA,0:55:29,55.48
231,ITA,0:55:31,55.52
232,ITA,0:55:32,55.53
233,ITA,0:55:33,55.55
234,ITA,0:55:33,55.55
235,ITA,0:55:33,55.55
236,ITA,0:55:36,55.6
237,ITA,0:55:37,55.62
238,ITA,0:55:37,55.62
239,ITA,0:55:38,55.63
240,ITA,0:55:42,55.7
241,ITA,0:55:44,55.73
242,ITA,0:55:45,55.75
243,ITA,0:55:45,55.75
244,ITA,0:55:45,55.75
245,ITA,0:55:48,55.8
246,ITA,0:55:49,55.82
247,ITA,0:55:52,55.87
248,ITA,0:55:55,55.92
249,ITA,0:55:55,55.92
250,ITA,0:55:57,55.95
251,ITA,0:56:02,56.03
252,ITA,0:56:06,56.1
253,ITA,0:56:14,56.23
254,ITA,0:56:15,56.25
255,ITA,0:56:16,56.27
256,ITA,0:56:21,56.35
257,ITA,0:56:24,56.4
258,ITA,0:56:24,56.4
259,ITA,0:56:26,56.43
260,ESP,0:56:27,56.45
261,ITA,0:56:27,56.45
262,ITA,0:56:28,56.47
263,ITA,0:56:30,56.5
264,ITA,0:56:32,56.53
265,ITA,0:56:35,56.58
266,ITA,0:56:35,56.58
267,ITA,0:56:36,56.6
268,ITA,0:56:38,56.63
269,PER,0:56:38,56.63
270,ITA,0:56:39,56.65
271,ITA,0:56:40,56.67
272,ITA,0:56:41,56.68
273,ITA,0:56:41,56.68
274,ITA,0:56:43,56.72
275,ITA,0:56:44,56.73
276,ITA,0:56:47,56.78
277,ITA,0:56:47,56.78
278,ITA,0:56:48,56.8
279,ITA,0:56:52,56.87
280,ITA,0:56:52,56.87
281,UKR,0:56:53,56.88
282,ITA,0:56:59,56.98
283,ITA,0:57:02,57.03
284,ITA,0:57:04,57.07
285,ITA,0:57:04,57.07
286,ITA,0:57:06,57.1
287,ITA,0:57:06,57.1
288,ITA,0:57:11,57.18
289,ITA,0:57:12,57.2
290,ITA,0:57:21,57.35
291,ITA,0:57:23,57.38
292,ITA,0:57:24,57.4
293,ITA,0:57:29,57.48
294,ITA,0:57:29,57.48
295,ITA,0:57:31,57.52
296,ITA,0:57:34,57.57
297,ITA,0:57:37,57.62
298,ITA,0:57:39,57.65
299,ITA,0:57:43,57.72
300,ITA,0:57:49,57.82
301,ITA,0:58:04,58.07
302,ITA,0:58:06,58.1
303,ITA,0:58:13,58.22
304,ITA,0:58:16,58.27
305,ITA,0:58:38,58.63
306,ITA,0:58:39,58.65
307,ITA,0:58:39,58.65
308,ITA,0:58:40,58.67
309,ITA,0:58:42,58.7
310,ITA,0:58:44,58.73
311,ITA,0:58:44,58.73
312,ITA,0:58:50,58.83
313,ITA,0:58:50,58.83
314,ITA,0:58:58,58.97
315,ITA,0:59:00,59.0
316,ITA,0:59:01,59.02
317,ITA,0:59:01,59.02
318,ITA,0:59:02,59.03
319,ITA,0:59:07,59.12
320,ITA,0:59:14,59.23
321,ITA,0:59:17,59.28
322,ITA,0:59:17,59.28
323,ITA,0:59:22,59.37
324,ITA,0:59:28,59.47
325,ITA,0:59:30,59.5
326,ITA,0:59:35,59.58
327,ITA,0:59:40,59.67
328,ITA,0:59:47,59.78
329,ITA,0:59:49,59.82
330,ITA,0:59:51,59.85
331,ITA,0:59:52,59.87
332,ITA,0:59:58,59.97
333,FRA,1:00:03,60.05
334,ALB,1:00:05,60.08
335,ITA,1:00:08,60.13
336,ITA,1:00:13,60.22
337,ITA,1:00:19,60.32
338,ITA,1:00:19,60.32
339,ITA,1:00:20,60.33
340,ITA,1:00:27,60.45
341,ITA,1:00:32,60.53
342,ITA,1:00:40,60.67
343,ITA,1:00:42,60.7
344,ITA,1:00:44,60.73
345,ITA,1:00:44,60.73
346,ITA,1:00:44,60.73
347,ITA,1:00:45,60.75
348,ITA,1:00:45,60.75
349,ITA,1:01:14,61.23
350,ITA,1:01:17,61.28
351,ITA,1:01:28,61.47
352,ITA,1:01:35,61.58
353,ITA,1:01:37,61.62
354,ITA,1:01:42,61.7
355,ITA,1:01:44,61.73
356,ITA,1:01:44,61.73
357,ITA,1:01:46,61.77
358,ITA,1:01:58,61.97
359,ITA,1:02:01,62.02
360,ITA,1:02:05,62.08
361,ITA,1:02:11,62.18
362,ITA,1:02:17,62.28
363,ITA,1:02:19,62.32
364,ITA,1:02:19,62.32
365,ITA,1:02:26,62.43
366,ITA,1:02:43,62.72
367,ITA,1:02:49,62.82
368,ITA,1:02:57,62.95
369,ITA,1:02:59,62.98
370,ITA,1:03:03,63.05
371,IND,1:03:04,63.07
372,ITA,1:03:34,63.57
373,ITA,1:03:36,63.6
374,ITA,1:03:36,63.6
375,ITA,1:03:38,63.63
376,ITA,1:03:38,63.63
377,ITA,1:03:44,63.73
378,ITA,1:03:47,63.78
379,ITA,1:03:48,63.8
380,ITA,1:03:49,63.82
381,ITA,1:04:15,64.25
382,ITA,1:04:15,64.25
383,ITA,1:04:24,64.4
384,ITA,1:04:24,64.4
385,ITA,1:04:28,64.47
386,ITA,1:04:29,64.48
387,ITA,1:04:29,64.48
388,ITA,1:04:35,64.58
389,ITA,1:04:35,64.58
390,ITA,1:04:47,64.78
391,ITA,1:04:50,64.83
392,ITA,1:05:02,65.03
393,ITA,1:05:06,65.1
394,ITA,1:05:07,65.12
395,ITA,1:05:12,65.2
396,ITA,1:05:13,65.22
397,ITA,1:05:14,65.23
398,ITA,1:05:15,65.25
399,ITA,1:05:25,65.42
400,ITA,1:05:35,65.58
401,ITA,1:05:38,65.63
402,PER,1:05:42,65.7
403,ITA,1:05:43,65.72
404,CHN,1:05:46,65.77
405,ITA,1:05:58,65.97
406,ITA,1:06:11,66.18
407,ITA,1:06:11,66.18
408,ITA,1:06:23,66.38
409,ITA,1:06:26,66.43
410,ITA,1:06:43,66.72
411,ITA,1:06:51,66.85
412,ITA,1:07:11,67.18
413,ITA,1:07:18,67.3
414,ITA,1:07:18,67.3
415,ITA,1:07:18,67.3
416,RUS,1:07:26,67.43
417,ITA,1:07:43,67.72
418,ITA,1:07:55,67.92
419,ITA,1:08:05,68.08
420,ITA,1:08:09,68.15
421,ITA,1:08:30,68.5
422,ITA,1:08:40,68.67
423,ITA,1:08:46,68.77
424,ITA,1:08:47,68.78
425,ITA,1:09:04,69.07
426,ITA,1:09:16,69.27
427,ITA,1:09:16,69.27
428,ITA,1:09:16,69.27
429,ITA,1:09:26,69.43
430,ITA,1:09:26,69.43
431,ITA,1:09:52,69.87
432,ITA,1:09:53,69.88
433,ITA,1:10:05,70.08
434,ITA,1:10:05,70.08
435,ITA,1:10:05,70.08
436,ITA,1:10:23,70.38
437,ITA,1:10:39,70.65
438,ITA,1:10:39,70.65
439,ITA,1:10:40,70.67
440,ITA,1:10:43,70.72
441,ITA,1:10:43,70.72
442,BRA,1:10:49,70.82
443,ITA,1:11:11,71.18
444,ITA,1:11:12,71.2
445,ITA,1:11:17,71.28
446,ITA,1:11:17,71.28
447,ITA,1:11:31,71.52
448,ITA,1:11:33,71.55
449,ITA,1:11:44,71.73
450,ITA,1:11:51,71.85
451,ITA,1:11:51,71.85
452,ITA,1:11:53,71.88
453,ITA,1:12:04,72.07
454,ITA,1:12:05,72.08
455,ITA,1:12:05,72.08
456,ITA,1:12:08,72.13
457,ITA,1:12:15,72.25
458,ITA,1:17:55,77.92
459,ITA,1:19:07,79.12
460,ITA,1:19:08,79.13
461,ITA,1:19:29,79.48
462,ITA,1:19:29,79.48
463,JPN,1:20:01,80.02
464,ITA,1:20:32,80.53
465,ITA,1:20:33,80.55
466,ITA,1:20:41,80.68
467,ITA,1:20:41,80.68
468,ITA,1:20:50,80.83
469,ITA,1:21:02,81.03
470,ITA,1:25:32,85.53
471,ITA,1:25:32,85.53
